file_name,title,object,event,property,scene,caption
cr7_10,Cristiano Ronaldo Horror Foul at Javier Manquillo.,Cristiano Ronaldo (Real Madrid player) and Javier Manquillo (Atletico Madrid player).,"Cristiano Ronaldo committing a foul on Javier Manquillo, resulting in a dangerous play.",Horrific foul by Cristiano Ronaldo characterized by the severity of the tackle.,"A soccer match between Real Madrid and Atletico Madrid, capturing a critical moment of foul play that may cause tension among players and spectators, with an emphasis on the physicality and dynamics of the game.","Object: Cristiano Ronaldo (Real Madrid player) and Javier Manquillo (Atletico Madrid player). Events: Cristiano Ronaldo committing a foul on Javier Manquillo, resulting in a dangerous play. Property: Horrific foul by Cristiano Ronaldo characterized by the severity of the tackle. Scene: A soccer match between Real Madrid and Atletico Madrid, capturing a critical moment of foul play that may cause tension among players and spectators, with an emphasis on the physicality and dynamics of the game."
cr7_11,"Real Madrid’s Cristiano Ronaldo, right, reacts after Referee Ricardo de Burgos shows a yellow card during the Spanish Supercup, first leg, soccer match between FC Barcelona and Real Madrid at the Camp Nou stadium in Barcelona, Spain, Sunday, Aug. 13, 2017.","Cristiano Ronaldo (Real Madrid player), referee Ricardo de Burgos, and a teammate.",Cristiano Ronaldo reacting with disbelief after receiving a yellow card from the referee.,Yellow card issued to Cristiano Ronaldo.,"A tense moment during the Spanish Supercup match between FC Barcelona and Real Madrid at Camp Nou, capturing the emotional reaction of a player to a referee's decision amidst an excited crowd.","Object: Cristiano Ronaldo (Real Madrid player), referee Ricardo de Burgos, and a teammate. Events: Cristiano Ronaldo reacting with disbelief after receiving a yellow card from the referee. Property: Yellow card issued to Cristiano Ronaldo. Scene: A tense moment during the Spanish Supercup match between FC Barcelona and Real Madrid at Camp Nou, capturing the emotional reaction of a player to a referee's decision amidst an excited crowd."
cr7_12,Cristiano Ronaldo has come under criticism for allegedly diving after being tackled by Ledley King.,Cristiano Ronaldo (Manchester United player) and Ledley King (Tottenham player).,"Cristiano Ronaldo reacting after being tackled by Ledley King, leading to accusations of diving.","Controversial reaction by Cristiano Ronaldo, perceived as a dive.","A Premier League match situation, with players in action and possibly a mixed reaction from the spectators, highlighting a moment of contention regarding sportsmanship and player conduct on the field.","Object: Cristiano Ronaldo (Manchester United player) and Ledley King (Tottenham player). Events: Cristiano Ronaldo reacting after being tackled by Ledley King, leading to accusations of diving. Property: Controversial reaction by Cristiano Ronaldo, perceived as a dive. Scene: A Premier League match situation, with players in action and possibly a mixed reaction from the spectators, highlighting a moment of contention regarding sportsmanship and player conduct on the field."
cr7_13,VIDEO: Cristiano Ronaldo Slaps Phone Out of Child's Hand After Loss.,Cristiano Ronaldo (Manchester United player) and a child's phone.,Cristiano Ronaldo slapping a phone out of a child's hand after a match loss.,Reactive behavior by Cristiano Ronaldo following a defeat.,"Outside the stadium or tunnel area after a soccer match, showcasing a tense moment with bystanders and potential fans observing the interaction, highlighting the emotional aftermath of the game's conclusion.","Object: Cristiano Ronaldo (Manchester United player) and a child's phone. Events: Cristiano Ronaldo slapping a phone out of a child's hand after a match loss. Property: Reactive behavior by Cristiano Ronaldo following a defeat. Scene: Outside the stadium or tunnel area after a soccer match, showcasing a tense moment with bystanders and potential fans observing the interaction, highlighting the emotional aftermath of the game's conclusion."
cr7_14,Cristiano Ronaldo is filmed KICKING his captain's armband away in disgust following Portugal's Euro 2020 defeat by Belgium... the second time this year the Juventus striker has used it to signal his frustration after his Serbia strop in March.,"Cristiano Ronaldo (Portugal player), captain's armband.",Cristiano Ronaldo kicking his captain's armband away in frustration after Portugal's defeat by Belgium in Euro 2020.,Display of disgust and frustration by Cristiano Ronaldo.,"Post-match setting in a stadium, capturing a moment of disappointment and emotional expression from a player, with other coaching staff and individuals present in the background, emphasizing the tension following the loss.","Object: Cristiano Ronaldo (Portugal player), captain's armband. Events: Cristiano Ronaldo kicking his captain's armband away in frustration after Portugal's defeat by Belgium in Euro 2020. Property: Display of disgust and frustration by Cristiano Ronaldo. Scene: Post-match setting in a stadium, capturing a moment of disappointment and emotional expression from a player, with other coaching staff and individuals present in the background, emphasizing the tension following the loss."
cr7_15,"Cristiano Ronaldo tried to claim Portugal's first goal against Uruguay at the World Cup which was eventually awarded to teammate Bruno Fernandes, later got trolled over this questionable moment in Portugal win.",Cristiano Ronaldo (Portugal player) and the soccer ball.,"Cristiano Ronaldo attempting to claim a goal during the World Cup match against Uruguay, which was actually awarded to teammate Bruno Fernandes.",Controversial claim for the goal by Cristiano Ronaldo.,"A World Cup match setting, showcasing the moment of play where Ronaldo is involved in a goal-scoring attempt, with the atmosphere heightened due to the stakes of the game and possibly other players and spectators around.","Object: Cristiano Ronaldo (Portugal player) and the soccer ball. Events: Cristiano Ronaldo attempting to claim a goal during the World Cup match against Uruguay, which was actually awarded to teammate Bruno Fernandes. Property: Controversial claim for the goal by Cristiano Ronaldo. Scene: A World Cup match setting, showcasing the moment of play where Ronaldo is involved in a goal-scoring attempt, with the atmosphere heightened due to the stakes of the game and possibly other players and spectators around."
cr7_16,Cristiano Ronaldo was clearly offside for 2 big goals in Real Madrid vs. Bayern Munich.,Cristiano Ronaldo (Real Madrid player) and opposing players from Bayern Munich.,Cristiano Ronaldo being in an offside position during two significant goal attempts in a match against Bayern Munich.,Clear offside violation.,"A soccer match scenario, specifically during a key moment of play, highlighting the placement of players on the field, with an emphasis on the controversy surrounding Ronaldo's positioning and the implications for the score of the game.","Object: Cristiano Ronaldo (Real Madrid player) and opposing players from Bayern Munich. Events: Cristiano Ronaldo being in an offside position during two significant goal attempts in a match against Bayern Munich. Property: Clear offside violation. Scene: A soccer match scenario, specifically during a key moment of play, highlighting the placement of players on the field, with an emphasis on the controversy surrounding Ronaldo's positioning and the implications for the score of the game."
cr7_17,OFFSIDE! Ronaldo & ref at center of controversy in Real Madrid 4-2 (AET) Bayern Munich.,"Cristiano Ronaldo (Real Madrid player), Bayern Munich players, and the referee.",A controversial offside call involving Cristiano Ronaldo during the match against Bayern Munich.,Offside situation leading to controversy.,"A tense moment during a soccer match, focusing on Ronaldo in a scoring opportunity, with players in positions surrounding the goal and the referee's decision causing debates about the validity of the play.","Object: Cristiano Ronaldo (Real Madrid player), Bayern Munich players, and the referee. Events: A controversial offside call involving Cristiano Ronaldo during the match against Bayern Munich. Property: Offside situation leading to controversy. Scene: A tense moment during a soccer match, focusing on Ronaldo in a scoring opportunity, with players in positions surrounding the goal and the referee's decision causing debates about the validity of the play."
pepe_1,Pepe stamped on Lionel Messi's hand during the golden age of El Clasico.,"Lionel Messi, Pepe (Real Madrid player).","Stamping on a player's hand, falling to the ground.","Messi representing Barcelona, wearing the team jersey. Pepe representing Real Madrid, in his team jersey.","An El Clásico match during a competitive period between Barcelona and Real Madrid, with Messi on the ground after Pepe stamps on his hand, highlighting the physical intensity and rivalry of the match, as other players are also present in the background.","Object: Lionel Messi, Pepe (Real Madrid player). Events: Stamping on a player's hand, falling to the ground. Property: Messi representing Barcelona, wearing the team jersey. Pepe representing Real Madrid, in his team jersey. Scene: An El Clásico match during a competitive period between Barcelona and Real Madrid, with Messi on the ground after Pepe stamps on his hand, highlighting the physical intensity and rivalry of the match, as other players are also present in the background."
pepe_2,"As Thomas Mueller sat on the ground reeling from a Pepe challenge, the red mist descended on the Portuguese centre-back as he approached the Bayern Munich forward and butted heads with him.","Thomas Mueller (Germany player), Pepe (Portugal player).","Challenging for the ball, headbutting.","Mueller representing Germany, wearing the team jersey. Pepe representing Portugal, in his team jersey.","A tense moment during a match in the 2014 FIFA World Cup, with Mueller sitting on the ground recovering from a challenge, while Pepe, visibly agitated, approaches him and butts heads, illustrating the heightened emotions and physicality often present in critical soccer matches.","Object: Thomas Mueller (Germany player), Pepe (Portugal player). Events: Challenging for the ball, headbutting. Property: Mueller representing Germany, wearing the team jersey. Pepe representing Portugal, in his team jersey. Scene: A tense moment during a match in the 2014 FIFA World Cup, with Mueller sitting on the ground recovering from a challenge, while Pepe, visibly agitated, approaches him and butts heads, illustrating the heightened emotions and physicality often present in critical soccer matches."
pepe_3,Portugal's Pepe (left) is no stranger to going over the line.,"Pepe (Portugal player), Spanish player.","Challenging an opponent, engaging in a physical altercation.","Pepe representing Portugal, wearing the team jersey. The Spanish player on the ground, possibly injured or in a vulnerable position.","A tense moment during a match between Portugal and Spain, with Pepe exhibiting aggressive behavior towards the Spanish player, emphasizing his reputation for physical play and the intense rivalry between the teams in a competitive atmosphere.","Object: Pepe (Portugal player), Spanish player. Events: Challenging an opponent, engaging in a physical altercation. Property: Pepe representing Portugal, wearing the team jersey. The Spanish player on the ground, possibly injured or in a vulnerable position. Scene: A tense moment during a match between Portugal and Spain, with Pepe exhibiting aggressive behavior towards the Spanish player, emphasizing his reputation for physical play and the intense rivalry between the teams in a competitive atmosphere."
pepe_4,Pepe is the dirtiest player of ALL TIME. Pepe’s days at Real Madrid with Cristiano Ronaldo had one main target - Lionel Messi - but Pepe was aggressive with many players which is why Pepe is the dirtiest player ever.,"Pepe (Real Madrid player), Barcelona player (on the ground).","Stamping, engaging in rough play.","Pepe representing Real Madrid, wearing the team jersey. The Barcelona player on the ground in a vulnerable position.","A contentious moment during a match between Real Madrid and Barcelona, with Pepe aggressively stamping on the fallen Barcelona player, illustrating his reputation for being a highly physical and controversial player, particularly in the context of intense rivalry matches like El Clásico.","Object: Pepe (Real Madrid player), Barcelona player (on the ground). Events: Stamping, engaging in rough play. Property: Pepe representing Real Madrid, wearing the team jersey. The Barcelona player on the ground in a vulnerable position. Scene: A contentious moment during a match between Real Madrid and Barcelona, with Pepe aggressively stamping on the fallen Barcelona player, illustrating his reputation for being a highly physical and controversial player, particularly in the context of intense rivalry matches like El Clásico."
